S.No,Name,Age,Occupation,Education
1,Payal,19,Doctor,yes 
2,Aaryan,20,Enginner,no
3,Kiran,19,designer,no 
4,Gauri,21,player,yes 
5,Abhay,21,teacher,yes 
6,Lakshay,23,Doctor,no
7,Ali,43,Enginner,no 
8,Kirti,54,designer,yes 
9,Sakshi,76,player,yes 
10,Divya,2,teacher,no
11,Priya,32,Doctor,no 
12,Naveen,19,Enginner,yes 
13,Sahil,20,designer,yes 
14,Rahul,20,player,no
15,Nancy,19,teacher,no 
16,Shristi,20,Doctor,yes 
17,Sneha,21,Enginner,yes 
18,Himanshi,22,designer,no
19,Komal,20,player,no 
20,Kanika,20,teacher,yes 
21,Piyuu,19,Doctor,yes 
22,Sheetal,18,Enginner,no
23,Priya,17,designer,no 
24,Riya,18,player,yes 
25,Shivani,22,teacher,yes 
